Input,Factors
42939630231237709950990486559098221809660325303,188256662309;229896791977;728679938407;1361564506453
46264888287966680293426988114743809349305787669,202878103107236890818403;228042788153988608214823
169048683558892540219892112286184063000198226599,215113662281380905853381;785857493968780312499579
227742699827450167396891510036678121111179142683,2733463693638719;8449161608540897;9860922325674181
657881573347585889336089113542340258189265844273,600803936972790605018639;1095002101122017504374207
1190289425480849925760379772094566525740985961511,820034170168959450003881;1451511984233051238865231
2276358371933617840219826379916593324142450567763,550447261739;697355374747;2165917100213;2737971585647
4909944821632418307163945472205783235701876624143,15613861298127401;17302555789437077;18174230682679259
9946558706111841819444481702434200458508606678831,9139214321187541;31534084774584529;34513083125922179
15595959935439352029270078681845521702642588944601,2837959705087880642473441;5495483218975586347616761
34402050511839838086411070936204351479940758299191,4605320512506784299767261;7470066506427365388708131
70483677360836606309509657509333067677582747139147,1499267114687;1499267114687;4111906074061;7625833844983
186849036711039114790045468328107563176841314895841,5636387573;6903825223;10683465341;16683857797;26939628427
237459247256575550033927467497607754839162478092189,10372416787035153585944747;22893338373500780064233687
419587976447132884964122222715390830831005182645173,17740866792983307614025629;23650928747916881751846137
838131874696820940449232990436737833890151024385139,21010703571303443270825957;39890709602011945545239927
2054135299022003614080928872815586405106080864742639,75699655640684921;109004907528538999;248936793393762641
4587388611047761162030048942331222184057385264470851,12258423239;12776989297;27072846733;30136774793;35898118913
7807002669058390455560040087900062567102814580192063,65413351913203630550189299;119348763527932796168412037
14702191333735173598524226932843774121606227681879181,103787308237598084993635289;141656928803642913531382229
38806196590254066150806592150021667274431927864551593,12961127143;25399936391;31164625277;56064401891;67464697423
72748332847579466081861070648458655253308108793099343,9657153722107;14434111144501;16361819225189;31897178261941
144638220176628474805022823318073858730720819021947589,175600997126093059226740193;823675392189081505010569573
210345102199083487052662120948084007643791669235534829,514834526778939383;600776620901375371;680067022255758353
538198790657599648013779835440842257953404656851596187,27822891571;27822891571;27822891571;120245815187;207809767691
1160474675309000701433001774072587238945034016808286829,44001123143;44935008289;65828232971;84973448603;104928058579
2324119548019477266013310236482366597418224906150846497,598745000896428833;1279643455583938943;3033385337734779263
5696773140610201876277220210696796985782645824881460121,1289182071099248951696370833;4418905031585433974164032137
6219386668160451855630124085146666978226234082685557539,1270435637532900161;1766759254675505177;2770878708913568987
16819649779278516852543451137653020523038312647624135227,2540545369950234904955003543;6620487859899146796239099389
41294929144878755565153977428822087016053023786035919001,58442990055343;66699187869079;94758270385613;111796093223141
57666820520838259976391215619804962997562389989666474749,6499081389561460360618504643;8873072525828062295135175743
146737065408524704384937896219101897627010925369639222611,6045532011097407138416056441;24271985515777370636466563371
368750776113909529017022326423866450790980519037808786943,49162345382489;104514064224571;219152303601593;327476072402429
478043878093868816451844246399579572125993511426959132699,19093081559414137358026678583;25037544442801687711830446653
968161807324057430137004187657103239046155742550012413361,5840825106481864327;11125180953717191143;14899327295728741601
1600220903629325887442488170409981442927869333766966678623,26078017060609850585598528629;61362829079762237497140925187
3643209273620604713083101503167023426310589320313499989021,8114961736526086829;12809285088045746437;35048767524477494077
11444903062461620550503417309525816834490652435954084580513,162484178757349;176478266632643;443799324652763;899338472583293
24259118308648323267149689091284654051175198000707425708247,162477577077791;305840445071741;316978417301951;1540128539878787
41838590342678897666594707345330355484210596393425562832881,89048885326129716909866303561;469838450974996673532172182121
67603350215594784212197626045973573500113318600693893321123,168888620190525929236676339329;400283631539711635721001815587
165088890794930209491448614058907711052907811297491021113989,30533453336348290123;68977892990882298457;78384826168145992199
276095703593417550402249509707368562705957189003748966780621,595157833;6774002357;16176908827;16176908827;16176908827;16176908827
732156962933674515368190511665254242775206080996569375314643,461617564149757;560634507684917;1443805176732857;1959446687674571
1491980244891554169885792250365312096860854207745912418058487,501932028397307;660383879017519;1982823436392091;2270061678548929
1873135617044442808026714176518925518455731497731361986972077,1147557575354860776847245664261;1632280294489982826954497637257
3871451441637890401394477504716759568611465988343012154299599,113274680508114018037;117304480761008269613;291357612050795590879
11468472167452011189167432595017424345384703420216778444847659,565099428020383;1274859995848771;3574821152050537;4453114733297999
22359370198280502131056194072273963255197712116586049164598033,1049232498450371;1480945238655107;3793363110494717;3793363110494717
48475756749402740035311168919529821246059713817256486803968021,1362010374888773;2250234284267209;3193858923805787;4952228960195819
60898083103573209285120324329863436184103011387089791458293131,169041167304526530203;331347809207020143121;1087244040804060915137
200805433240477720513195903161364759863628724512004101380361837,10140553183331302759317463452373;19802216862345821339015004819769
227319668791263705520044120160960712454514273754891029588012457,10832278629408970950798287356031;20985397123565929251683738009047
411947509813799855205744357928809379106489442566957165887116257,1421138532041;2163970194889;2693484720551;6657928899133;7469654647571
1170153993205419809589385644339319119401700944912158129151818019,31392363129492503579421886787359;37275116510935212216224048015741
2038444204914981191765042992629336897140686611041288526023691089,31429565372848856085045664361587;64857537186178766502335573269547
5374540582717118817821600428349228348693609117503364722158386329,4598721222744703;5061889720999273;12348125834553337;18697801181492743
7727686752320028156763871159191331486961773957462229389404822091,2827841299301;4376405682293;5825972188951;6542093567543;16382936381059
15578285972111744298245221651349888899545962625908930993814421529,121171796074145248909571937705769;128563630125440758028182361565041
30441980866272082158772753995717773612491678235214452504634922471,1447428671082991409191;3740716297092413061923;5622389980935538479947
65823974334958432248586947190358844202442551242094067032950609181,807670823;825590741;1786188269;1824138689;2611093603;3311829737;3503558417
186331688364205024568960221905712191298334524032151550836013008921,75629951;80560243;81666619;83451143;217152049;246872519;249492589;335506499
234926800946290795556598467458554982347032685442518762544728333071,11807258585667997;14378895688771063;23753109704722253;58255573559153137
714963983238301101449758780270371010061566791702889999142975007877,470604103569077665624483727024713;1519247235236560254373485928462429
1169586329222935678575066725976811495307334066618462292041655819727,1028487084149818157395192212447139;1137191071475394247770989833272293
