Inputs from 160-bit to 210-bit was generated by GMP, tests performed during development on a single core OVH-cloud-amd64 server.

| 160 bits Quadratic Sieve testing command                                                    | average  | factors shown |
|                                    ./qs 11385084803414608547610586585130732549666006997349 |  1020 ms | 6             |
|                                    ./qs 10521432567816718571516117207864719791776236919221 |  1016 ms | 2             |


| 164 bits Quadratic Sieve testing command                                                    | average  | factors shown |
--------------------------------------------------------------------------------------------------------------------------
|                                    ./qs 18648379794789364298400584770515996057281126959571 |  1117 ms | 2             |
|                                    ./qs 15005935883225863053760725334654011967000762247597 |  1134 ms | 6             |
|                                    ./qs 15754443086260241541463141802213575540355233666811 |  1225 ms | 2             |
|                                    ./qs 19717407450136501552467519840532726041804091771519 |  1150 ms | 2             |
|                                    ./qs 23089755673088675712544261024707633882496873245007 |  1076 ms | 2             |
|                                    ./qs 19028691291233460204286409071855601961044805881029 |  1031 ms | 2             |
|                                    ./qs 17439366623756413487232557669859469891810328939107 |  1058 ms | 2             |
|                                    ./qs 13420194884959712293983830693555904670358556961447 |  1043 ms | 2             |
|                                    ./qs 17306947455103779294977222899867175065732253268919 |  1049 ms | 2             |
|                                    ./qs 18703406014413112379346072268309095929810019594203 |  1058 ms | 14            |
|                                    ./qs 21172521034636620143284453105155887636844044540881 |  1043 ms | 14            |
|                                    ./qs 16291741990089330432035350129073419346575091087051 |  1066 ms | 14            |
|                                    ./qs 18379434951727289788449146901804800651347441049141 |  1077 ms | 2             |
|                                    ./qs 13472975450706630371651115922216116806943423858929 |  1071 ms | 14            |
|                                    ./qs 14792764454118144405770924194986963513508789023433 |  1068 ms | 2             |
|                                    ./qs 14091391519046145936661374258984869806120161485999 |  1061 ms | 2             |
|                                    ./qs 19647027622506835890042708584773402404477828852389 |  1058 ms | 2             |
|                                    ./qs 23330381750361759141465359924303546138431256761847 |  1066 ms | 2             |
|                                    ./qs 19158062520329268928679022156628574154500457838519 |  1065 ms | 14            |
|                                    ./qs 21770146510217636553772206310249026907850315268781 |  1065 ms | 2             |


| 165 bits Quadratic Sieve testing command                                                    | average  | factors shown |
--------------------------------------------------------------------------------------------------------------------------
|                                    ./qs 28235663272942724111210466431604673185327938485103 |  1086 ms | 30            |
|                                    ./qs 31198258804895414013251566694546553202131179316589 |   946 ms | 2             |
|                                    ./qs 37559026878004784650393890608621380587815978451017 |   924 ms | 2             |
|                                    ./qs 46376796285494484908488879155440656441797771397559 |  1032 ms | 6             |
|                                    ./qs 27140412626412785193569444542086446791963168714039 |  1054 ms | 2             |
|                                    ./qs 31961149949037610110694997348600298809365851808999 |  1090 ms | 2             |
|                                    ./qs 30634228295429046216767165507246760020013580195229 |  1127 ms | 6             |
|                                    ./qs 42811191341121867386463628304255507340378704655607 |  1148 ms | 2             |
|                                    ./qs 23551468553602742929108463371800613374153648640057 |  1126 ms | 6             |
|                                    ./qs 39495316801326308181570371094740693482689225768617 |  1168 ms | 6             |
|                                    ./qs 40924410253259615729264499196500499175197426723679 |  1171 ms | 2             |
|                                    ./qs 44351258002354428885877137874825554061569562558081 |  1178 ms | 2             |
|                                    ./qs 34549852541456363324708858709264658295492730913057 |  1150 ms | 6             |
|                                    ./qs 37977189746158837480741712466019796211255896204651 |  1150 ms | 14            |
|                                    ./qs 29494665467441817054941726763323005774698633660659 |  1159 ms | 2             |
|                                    ./qs 39952017853601280457946707960533689039468807401547 |  1156 ms | 2             |
|                                    ./qs 27835263526481473895139290100288262544543263569833 |  1149 ms | 2             |
|                                    ./qs 45526101936679897045581273367621193674938918928637 |  1155 ms | 2             |
|                                    ./qs 27154124598873592988517570155439141560492121339239 |  1170 ms | 2             |
|                                    ./qs 27394151567527620301059622245595902431907829055561 |  1167 ms | 2             |


| 166 bits Quadratic Sieve testing command                                                    | average  | factors shown |
--------------------------------------------------------------------------------------------------------------------------
|                                    ./qs 48666481647919412324809289805028972289255661782977 |  1455 ms | 2             |
|                                    ./qs 93124261994008677956266794893033813466414714621643 |  1303 ms | 2             |
|                                    ./qs 74986656690520285389523197450055344197920127260457 |  1185 ms | 14            |
|                                    ./qs 56614487026508810173126738792153877635722053347589 |  1209 ms | 14            |
|                                    ./qs 87046419554474333014416242818922644115926190277497 |  1208 ms | 2             |
|                                    ./qs 48619019906776268198139268495789948465649176630159 |  1165 ms | 6             |
|                                    ./qs 73686239395724850600575635306391256560278477165751 |  1176 ms | 6             |
|                                    ./qs 50100023106623293780684289982582509113971226531807 |  1170 ms | 2             |
|                                    ./qs 65069797117743073065680970880687002462177749681657 |  1161 ms | 2             |
|                                    ./qs 75747719126324940024569325424641295844623413810983 |  1167 ms | 2             |
|                                    ./qs 68660272572990799466717513771247852332001789506131 |  1163 ms | 6             |
|                                    ./qs 54725204820225343725073085557556416176134216025641 |  1157 ms | 6             |
|                                    ./qs 48196907922302898900914394029114686589993235015797 |  1140 ms | 14            |
|                                    ./qs 60552674323767387108746153076081616831998422344129 |  1154 ms | 2             |
|                                    ./qs 66953580226379693474584795080075052938941315402711 |  1169 ms | 2             |
|                                    ./qs 54625612251937958641389749304324276198478484843483 |  1188 ms | 14            |
|                                    ./qs 83934301955585909235106917227699104290133949624729 |  1196 ms | 2             |
|                                    ./qs 63050862868286155126139326848516102279850027911299 |  1191 ms | 6             |
|                                    ./qs 53966733651379614423036149555290892392881526821103 |  1193 ms | 2             |
|                                    ./qs 82930697281937639084270692386227776729344052383239 |  1220 ms | 2             |


| 167 bits Quadratic Sieve testing command                                                    | average  | factors shown |
--------------------------------------------------------------------------------------------------------------------------
|                                   ./qs 180229809176524553120966728214212651711012511806789 |  1066 ms | 6             |
|                                    ./qs 95280142123962096702559887172938066752463627127489 |   980 ms | 6             |
|                                   ./qs 183799725746185838318985742116678642259926120496187 |  1105 ms | 6             |
|                                   ./qs 162222179979807652210691817208047821257700697123407 |  1197 ms | 6             |
|                                   ./qs 134963616615979001662636928376524513356404017922743 |  1252 ms | 2             |
|                                   ./qs 187033074336706141557069111274775227324977442140767 |  1289 ms | 2             |
|                                   ./qs 159717094738832780210870229946824249177343923765383 |  1273 ms | 2             |
|                                   ./qs 187002147834544447958792062496638397065093693592561 |  1343 ms | 6             |
|                                   ./qs 132531229616506614380473219432273215759354492259043 |  1323 ms | 2             |
|                                   ./qs 162735669194244909421349793371430403352504874663203 |  1351 ms | 2             |
|                                   ./qs 142419633137959283249240370020645733659192422463357 |  1354 ms | 2             |
|                                   ./qs 121288059640429347026539539460880828157327793503331 |  1343 ms | 2             |
|                                   ./qs 164240628645997584899347610450567119542847296392929 |  1362 ms | 2             |
|                                   ./qs 185310733373574396273408567311230797383466712161737 |  1370 ms | 2             |
|                                   ./qs 159711503710234020633404167969060928488153071346073 |  1368 ms | 6             |
|                                   ./qs 182157556178523467860776327041379191007007396766617 |  1371 ms | 6             |
|                                   ./qs 125248848382084622151123174243416935772046611033887 |  1368 ms | 6             |
|                                    ./qs 95314913799447623625430087578800384176539094616483 |  1373 ms | 2             |
|                                   ./qs 120426341767741670213511108123252521133354934949129 |  1377 ms | 6             |
|                                   ./qs 141144348192255831234365249280416322243111679991233 |  1386 ms | 6             |


| 168 bits Quadratic Sieve testing command                                                    | average  | factors shown |
--------------------------------------------------------------------------------------------------------------------------
|                                   ./qs 235237321552744653565405295551100029802099701975111 |  1711 ms | 6             |
|                                   ./qs 321557618150717171553969096097737249083949437698969 |  1435 ms | 6             |
|                                   ./qs 286162052716582313494471964489580509524366653936253 |  1381 ms | 6             |
|                                   ./qs 289419942682915442682124419590059596000005487925597 |  1378 ms | 2             |
|                                   ./qs 256529117823579044288192965170147936664008201412837 |  1344 ms | 14            |
|                                   ./qs 230883039135728135660812127075016903668409243570107 |  1316 ms | 2             |
|                                   ./qs 361113133265430156624316462136936726559446954698703 |  1312 ms | 2             |
|                                   ./qs 205339651139236442168031641210945423754111535130933 |  1337 ms | 2             |
|                                   ./qs 251926622836878784656408628652429694935071989375871 |  1379 ms | 6             |
|                                   ./qs 326011633408986762639955076652506582996951374464343 |  1381 ms | 2             |
|                                   ./qs 196496514110772621915824855707077818929005613775503 |  1375 ms | 2             |
|                                   ./qs 260143043921965484036452617757224412238475215950703 |  1369 ms | 6             |
|                                   ./qs 267919871277451365260314494986241180217743536489737 |  1368 ms | 14            |
|                                   ./qs 300535770588901184447877456175381212432176233029197 |  1360 ms | 2             |
|                                   ./qs 188564898039107976187990905079331164228752768080723 |  1362 ms | 6             |
|                                   ./qs 301321678750645924003037811406251825155225526981719 |  1396 ms | 14            |
|                                   ./qs 267507279923373817711750918590127946941621837048361 |  1398 ms | 6             |
|                                   ./qs 187979849289501592422694783016884034732645044577483 |  1391 ms | 6             |
|                                   ./qs 358178682893970916245187723476181521334500728661283 |  1395 ms | 6             |
|                                   ./qs 343786935694806673328741452226674744115903949943817 |  1391 ms | 2             |


| 169 bits Quadratic Sieve testing command                                                    | average  | factors shown |
--------------------------------------------------------------------------------------------------------------------------
|                                   ./qs 471390444724579732756333129147092025977262143686927 |  1291 ms | 2             |
|                                   ./qs 722847632681987456843531157839546654445935637476363 |  1486 ms | 6             |
|                                   ./qs 484358051162683879374526521977207031184305757188437 |  1473 ms | 6             |
|                                   ./qs 663109819978231611952576555618622418259890516662639 |  1590 ms | 2             |
|                                   ./qs 485897271382058070323906366064367066439375804752913 |  1512 ms | 6             |
|                                   ./qs 629632528551648523888196716737960683815606632899681 |  1505 ms | 2             |
|                                   ./qs 491001547679485120069224152410977342117755671719559 |  1503 ms | 6             |
|                                   ./qs 734279979594715752772700519432734222294029780071509 |  1497 ms | 2             |
|                                   ./qs 608325536922975567923685315390315568469991850946803 |  1507 ms | 14            |
|                                   ./qs 626374707313958813659705425065202568852255284373289 |  1487 ms | 2             |
|                                   ./qs 479378123436252188652357461526465864989024152595309 |  1473 ms | 6             |
|                                   ./qs 535704456568400653946571820770233872654942869277817 |  1484 ms | 14            |
|                                   ./qs 698653073895494193803029517357520528742661667767509 |  1460 ms | 6             |
|                                   ./qs 518033644029652917903505862734183026759202731604883 |  1435 ms | 2             |
|                                   ./qs 594877915801757788517042980470478121622163868368901 |  1483 ms | 6             |
|                                   ./qs 555924230676493553024028511078507396049103380621881 |  1470 ms | 2             |
|                                   ./qs 736217495794723234695516294582483960216493827026339 |  1472 ms | 6             |
|                                   ./qs 416044267129748920597221863336275606797329006277593 |  1464 ms | 2             |
|                                   ./qs 587395625866770547363069881900143800077916458206401 |  1466 ms | 6             |
|                                   ./qs 603692563575016247413641084077353768813130279294467 |  1465 ms | 14            |


| 170 bits Quadratic Sieve testing command                                                    | average  | factors shown |
--------------------------------------------------------------------------------------------------------------------------
|                                  ./qs 1074897796801201591120384337609127119598727517758789 |  1544 ms | 6             |
|                                  ./qs 1105703049418994555174159232415031031541475515920907 |  1437 ms | 6             |
|                                   ./qs 965082538702876814028989108740228947106030029443557 |  1558 ms | 2             |
|                                   ./qs 938407199823185040134831467106165373204912888620753 |  1502 ms | 6             |
|                                   ./qs 982561670329228532112716643340963857097049041996921 |  1488 ms | 2             |
|                                   ./qs 829144701583984467160640746960397127712044472933687 |  1474 ms | 2             |
|                                  ./qs 1076705790254837228353321641219362974745787198777679 |  1508 ms | 2             |
|                                  ./qs 1106420519114076837075833707951528479238836277000667 |  1475 ms | 6             |
|                                  ./qs 1404090312896137405612022967989430486087133299760459 |  1522 ms | 2             |
|                                  ./qs 1229936724444042684904251724094528813610632904262021 |  1520 ms | 2             |
|                                   ./qs 844162966179503356074324933793148939632804725696841 |  1497 ms | 2             |
|                                  ./qs 1332568109967835419569693441768197561520969809153753 |  1489 ms | 6             |
|                                  ./qs 1040393386238528753736637889568924476301758353897561 |  1481 ms | 14            |
|                                   ./qs 919583445811186562093909093949596776851066807008627 |  1473 ms | 2             |
|                                   ./qs 812012482040130511803832920491040129615747273747209 |  1488 ms | 6             |
|                                  ./qs 1319915646328437849520326949479102767992513739993531 |  1507 ms | 2             |
|                                  ./qs 1201952562339772814332455763614147603591280474371857 |  1508 ms | 14            |
|                                  ./qs 1353078705853686310646341368220649345340947642062061 |  1491 ms | 2             |
|                                  ./qs 1119364662298761260240750457986847531265171713379997 |  1488 ms | 6             |
|                                  ./qs 1058036388832308790758625465439622157845991706709653 |  1470 ms | 6             |


| 171 bits Quadratic Sieve testing command                                                    | average  | factors shown |
--------------------------------------------------------------------------------------------------------------------------
|                                  ./qs 2913473944612876358121770005177052488468254336779417 |  1532 ms | 2             |
|                                  ./qs 2578351131984881936192953129706503138276591946108309 |  1488 ms | 2             |
|                                  ./qs 2786933452227731280017599701951861519949768845908273 |  1543 ms | 2             |
|                                  ./qs 2762023108985916465741161437729739467826189654518361 |  1622 ms | 2             |
|                                  ./qs 2143664573134397870571857623236493514013398403637187 |  1737 ms | 2             |
|                                  ./qs 2793625484538787035955061544458116966922086211303221 |  1678 ms | 14            |
|                                  ./qs 2002041428157396133926508841535545888216492246876969 |  1701 ms | 2             |
|                                  ./qs 1590108207747552944548108338372237460815560793065861 |  1681 ms | 6             |
|                                  ./qs 2522875637059132646766343069714884281740179570949019 |  1640 ms | 6             |
|                                  ./qs 2226543726354948773889926115717780266650594798728439 |  1647 ms | 6             |
|                                  ./qs 2156031952878243548185693976863548482029644533692607 |  1651 ms | 14            |
|                                  ./qs 1691187499976496047707498715166979447726319200867369 |  1686 ms | 2             |
|                                  ./qs 2990531209850272352362114427151062423498268304003867 |  1694 ms | 6             |
|                                  ./qs 2303447381291074068068463932219315122387864520699023 |  1702 ms | 6             |
|                                  ./qs 2672037556560766554378283637661562747830005644310971 |  1731 ms | 2             |
|                                  ./qs 2897896666288075147953173675127705048334519956492299 |  1743 ms | 6             |
|                                  ./qs 2190725231262788175264200066588118109475590181459749 |  1744 ms | 2             |
|                                  ./qs 2420080381260651132607478381512927537071743726500061 |  1738 ms | 2             |
|                                  ./qs 1792815066244174876000351332563202803332979372268673 |  1737 ms | 2             |
|                                  ./qs 2457675495672583871071958431353301328094544964991673 |  1731 ms | 14            |


| 172 bits Quadratic Sieve testing command                                                    | average  | factors shown |
--------------------------------------------------------------------------------------------------------------------------
|                                  ./qs 3566624471009651247293615615325246825227931456410713 |  1941 ms | 6             |
|                                  ./qs 3333701199169290442240586345778470404656622447896331 |  1921 ms | 2             |
|                                  ./qs 5026000431491855738790606182958211734555229047120527 |  1891 ms | 2             |
|                                  ./qs 5298047330209762927257051843792817936896225711051599 |  1934 ms | 2             |
|                                  ./qs 4655299560370211493702020138423936453808527777560513 |  1928 ms | 2             |
|                                  ./qs 3391574093250684774415211723233083670310082261234679 |  1867 ms | 14            |
|                                  ./qs 3126499532665287668976768927819582689555610278431739 |  1838 ms | 6             |
|                                  ./qs 5510482202145415198244712567382509305683807448343173 |  1867 ms | 2             |
|                                  ./qs 4793403694468817739488465964252597114314966325170497 |  1895 ms | 6             |
|                                  ./qs 3097715402342587537415156992799997414534259069676707 |  1899 ms | 6             |
|                                  ./qs 5597901326671654661114432025858495863718742316162569 |  1840 ms | 30            |
|                                  ./qs 3990053922639591758385238262187207125997671595182471 |  1903 ms | 6             |
|                                  ./qs 5457243982343387236060755355849448766706193731568741 |  1879 ms | 2             |
|                                  ./qs 4319820885063280371194980039105583937541995157066843 |  1886 ms | 6             |
|                                  ./qs 5101024641285104170212401655081155974700982889734209 |  1887 ms | 6             |
|                                  ./qs 4810491150806431659395138786378180276513430074535659 |  1907 ms | 2             |
|                                  ./qs 3184166365196716365753933042203401899529347477257207 |  1900 ms | 2             |
|                                  ./qs 4845844855080267069226349362993192196499860283544243 |  1891 ms | 2             |
|                                  ./qs 3962001620445291395303017295229146603036315687226089 |  1875 ms | 6             |
|                                  ./qs 3384339375676226324400739098658241836584669796537061 |  1873 ms | 2             |


| 173 bits Quadratic Sieve testing command                                                    | average  | factors shown |
--------------------------------------------------------------------------------------------------------------------------
|                                 ./qs 11544705837759981464246738053999370321055983373197323 |  2057 ms | 26            |
|                                  ./qs 8800073619706115139857055533353684672452641823794537 |  2111 ms | 2             |
|                                  ./qs 7647385032444767956426003742689840556457578812223543 |  1936 ms | 6             |
|                                 ./qs 11316716413832215198639708424717363723675228554919437 |  1978 ms | 2             |
|                                  ./qs 9797180373079570087991161386799607294752525013188349 |  2043 ms | 2             |
|                                  ./qs 7916004822158625178366698633674149613805259156425107 |  2049 ms | 14            |
|                                  ./qs 9585093042652647639697770046773144582364931758689743 |  2068 ms | 2             |
|                                 ./qs 11166109933625681848444667486829712363716544495098347 |  2127 ms | 6             |
|                                 ./qs 10690452993698990954787704994840580909609934710863871 |  2098 ms | 14            |
|                                  ./qs 7528774673254199605110165462014134331324677866028969 |  2090 ms | 6             |
|                                  ./qs 9405590762819139034163597819946550243567030030369991 |  2176 ms | 2             |
|                                  ./qs 8001458889173996781081033264327839690568730853774179 |  2183 ms | 2             |
|                                 ./qs 11372005700283579125744102673434739847168036405225043 |  2144 ms | 6             |
|                                  ./qs 8366523896393490601110547504501614851253925702449047 |  2131 ms | 2             |
|                                 ./qs 10865500280826390356225899755119312626909706992650793 |  2128 ms | 14            |
|                                  ./qs 7130138557103737420901323066167458955535996439232781 |  2155 ms | 6             |
|                                 ./qs 11255328785045525603981443920657717638961933064422373 |  2204 ms | 14            |
|                                 ./qs 11845331251180785131031483048864857170623992181939509 |  2175 ms | 2             |
|                                  ./qs 8730947611181593311278072337171587605522407098326489 |  2195 ms | 2             |
|                                  ./qs 6322923369774963404848654505305287334968472291445381 |  2182 ms | 2             |


| 174 bits Quadratic Sieve testing command                                                    | average  | factors shown |
--------------------------------------------------------------------------------------------------------------------------
|                                 ./qs 17879273837428730862389659412396064602435256065022223 |  2216 ms | 6             |
|                                 ./qs 20576083870499640961792185365694192719122844937117659 |  2374 ms | 2             |
|                                 ./qs 12446371227566877873854576992689963725712724115487329 |  2425 ms | 6             |
|                                 ./qs 12072751240415540200141432420185141441772739064243571 |  2328 ms | 6             |
|                                 ./qs 17242111714203773709245593524421178644491781027358789 |  2344 ms | 2             |
|                                 ./qs 19190366905084313895743116096257855265528051212164789 |  2260 ms | 2             |
|                                 ./qs 19689720302345796781008056780465949774435337487454887 |  2245 ms | 6             |
|                                 ./qs 17599672129007840883886974349199396059404814068949873 |  2248 ms | 6             |
|                                 ./qs 13090338774345596887333766045629577902170185493094261 |  2269 ms | 14            |
|                                 ./qs 17300473487791022831987144361875633855048994319396913 |  2253 ms | 14            |
|                                 ./qs 21883504700929329599156574319762719373226567425374917 |  2285 ms | 2             |
|                                 ./qs 12855328030455448221129481250112065276631322123880047 |  2249 ms | 2             |
|                                 ./qs 16350742112184387670823485199880718395041110858643179 |  2258 ms | 6             |
|                                 ./qs 13108412627233068698185557373111235874314403233812687 |  2245 ms | 6             |
|                                 ./qs 14308845919496812358704666797331852030689220264141439 |  2238 ms | 14            |
|                                 ./qs 12784294554053900921155799498155669999961620959016147 |  2222 ms | 6             |
|                                 ./qs 18540826056013612701622285487820356955108077750664761 |  2208 ms | 2             |
|                                 ./qs 11989091851463933128246542038938343803002429862323041 |  2199 ms | 2             |
|                                 ./qs 14135077466952084975823224844285052608051901788536737 |  2188 ms | 2             |
|                                 ./qs 21669092991984699064307244847794523210491415789277929 |  2175 ms | 2             |


| 175 bits Quadratic Sieve testing command                                                    | average  | factors shown |
--------------------------------------------------------------------------------------------------------------------------
|                                 ./qs 30872093948771205799337199436232724381835110229196191 |  2929 ms | 2             |
|                                 ./qs 32700947095704540955325879717238997937118672938175343 |  2745 ms | 30            |
|                                 ./qs 27191566188574236027098768489234982385646259113533109 |  2440 ms | 2             |
|                                 ./qs 29904140344335489470881182169129562863367997973133917 |  2397 ms | 6             |
|                                 ./qs 33295140062951836675632274437464333461796963917158853 |  2227 ms | 2             |
|                                 ./qs 33483845634727606794906627010788430572509263378272989 |  2237 ms | 6             |
|                                 ./qs 42712120243982963541471871938129700355881395543362683 |  2341 ms | 14            |
|                                 ./qs 30892084120030011395795736122186123568408682529591299 |  2294 ms | 14            |
|                                 ./qs 38566929675408148844504095412294277745715759897137091 |  2327 ms | 2             |
|                                 ./qs 35465281734772877189532754593707392932396833584509529 |  2253 ms | 14            |
|                                 ./qs 42072726832516745125431139309186501057038518091619367 |  2249 ms | 2             |
|                                 ./qs 27401882054029775003419064857313924288229978002532647 |  2217 ms | 2             |
|                                 ./qs 30663362285872589591474074961322836112020489199666799 |  2247 ms | 2             |
|                                 ./qs 44322183341360993123419744693265112177526209160246399 |  2214 ms | 2             |
|                                 ./qs 46705696199753317919509060917578418664462798677047191 |  2245 ms | 2             |
|                                 ./qs 30382977727160381149169829486796673310206551088717761 |  2224 ms | 2             |
|                                 ./qs 46975118266108474817993412746202838719631114892439743 |  2246 ms | 2             |
|                                 ./qs 25318655905283225529367226113334013863796167166301279 |  2204 ms | 2             |
|                                 ./qs 25452745018368376651936547781412703565601150110956347 |  2184 ms | 14            |
|                                 ./qs 31025109378269595919730247169765836510112975449541411 |  2207 ms | 6             |


| 176 bits Quadratic Sieve testing command                                                    | average  | factors shown |
--------------------------------------------------------------------------------------------------------------------------
|                                 ./qs 74124613754531956393602383959326827185090379257179469 |  2672 ms | 6             |
