Inputs from 60-bit to 160-bit was generated by GMP, tests performed during development on a single core OVH-cloud-amd64 server.

| 60 bits Quadratic Sieve testing command                                                     | average  | factors shown |
|                                                                   ./qs 9412252577380913537 |    27 ms | 2             |
|                                                                  ./qs 13030601396845015471 |    26 ms | 2             |
|                                                                  ./qs 11255789616107091343 |    24 ms | 2             |
|                                                                  ./qs 11174910957313748497 |    36 ms | 2             |
|                                                                  ./qs 13243992872373749963 |    39 ms | 2             |


| 65 bits Quadratic Sieve testing command                                                     | average  | factors shown |
--------------------------------------------------------------------------------------------------------------------------
|                                                                  ./qs 29728392472165801829 |   101 ms | 2             |
|                                                                  ./qs 23329937051124766303 |   101 ms | 2             |
|                                                                  ./qs 34393796217466916177 |   101 ms | 2             |
|                                                                  ./qs 26266956315717903491 |   101 ms | 6             |
|                                                                  ./qs 21569612381146567357 |    98 ms | 2             |
|                                                                  ./qs 29568924698252497801 |    99 ms | 2             |
|                                                                  ./qs 27840882990669442517 |   102 ms | 6             |
|                                                                  ./qs 23443433555452134923 |   102 ms | 2             |
|                                                                  ./qs 35488672842500338477 |   103 ms | 2             |
|                                                                  ./qs 34683598282402875857 |   104 ms | 2             |
|                                                                  ./qs 26637412204016411969 |   104 ms | 2             |
|                                                                  ./qs 26116635922777758157 |   103 ms | 2             |
|                                                                  ./qs 25733149732180883401 |   104 ms | 2             |
|                                                                  ./qs 26155298568088305163 |   105 ms | 2             |
|                                                                  ./qs 21826474599645402601 |   104 ms | 6             |
|                                                                  ./qs 21927097113707667811 |   104 ms | 2             |
|                                                                  ./qs 24964511865959536327 |   103 ms | 6             |
|                                                                  ./qs 29282271431573046283 |   104 ms | 2             |
|                                                                  ./qs 19953785542305972593 |   104 ms | 2             |
|                                                                  ./qs 30666652416765048469 |   104 ms | 2             |


| 66 bits Quadratic Sieve testing command                                                     | average  | factors shown |
--------------------------------------------------------------------------------------------------------------------------
|                                                                  ./qs 50824260737879939363 |   113 ms | 2             |
|                                                                  ./qs 49576730949399457849 |   108 ms | 2             |
|                                                                  ./qs 73375165556977763971 |   104 ms | 2             |
|                                                                  ./qs 45646376463714482447 |   105 ms | 2             |
|                                                                  ./qs 71718701959209950263 |   104 ms | 2             |
|                                                                  ./qs 46880106254294377289 |   103 ms | 2             |
|                                                                  ./qs 54007581145775510173 |   106 ms | 2             |
|                                                                  ./qs 40958312191982197601 |   107 ms | 2             |
|                                                                  ./qs 55589309993205359953 |   107 ms | 2             |
|                                                                  ./qs 63049007602805822491 |   107 ms | 2             |
|                                                                  ./qs 52747890583533981799 |   109 ms | 2             |
|                                                                  ./qs 49387635063741199651 |   109 ms | 2             |
|                                                                  ./qs 72276279444454641163 |   110 ms | 2             |
|                                                                  ./qs 73236556601788481309 |   110 ms | 2             |
|                                                                  ./qs 51995415492055872491 |   110 ms | 2             |
|                                                                  ./qs 47092176121321627067 |   111 ms | 2             |
|                                                                  ./qs 37802951148443870713 |   112 ms | 2             |
|                                                                  ./qs 38127090800387703091 |   112 ms | 6             |
|                                                                  ./qs 44862562802099391529 |   111 ms | 2             |
|                                                                  ./qs 57649900293959556887 |   111 ms | 6             |


| 67 bits Quadratic Sieve testing command                                                     | average  | factors shown |
--------------------------------------------------------------------------------------------------------------------------
|                                                                 ./qs 145725433682807946041 |   114 ms | 2             |
|                                                                  ./qs 80091791634056028769 |   116 ms | 2             |
|                                                                  ./qs 93510488505599377033 |   111 ms | 2             |
|                                                                 ./qs 120875113486149153839 |   112 ms | 2             |
|                                                                  ./qs 99392979097785725221 |   113 ms | 2             |
|                                                                  ./qs 92466795108416219431 |   112 ms | 2             |
|                                                                  ./qs 73919112624171150631 |   111 ms | 2             |
|                                                                 ./qs 145328367484999898387 |   110 ms | 2             |
|                                                                 ./qs 103300662465834292099 |   109 ms | 2             |
|                                                                  ./qs 81537299474590322941 |   108 ms | 2             |
|                                                                 ./qs 124914938770608000323 |   108 ms | 2             |
|                                                                 ./qs 107682717214630993439 |   108 ms | 6             |
|                                                                 ./qs 145160650068932235433 |   106 ms | 2             |
|                                                                 ./qs 130569250917342810341 |   106 ms | 2             |
|                                                                  ./qs 98397998097373343921 |   106 ms | 2             |
|                                                                 ./qs 137858881140078371071 |   106 ms | 2             |
|                                                                 ./qs 139288444324786433899 |   106 ms | 2             |
|                                                                 ./qs 145290373296087186967 |   107 ms | 2             |
|                                                                 ./qs 102530165038137527459 |   107 ms | 2             |
|                                                                 ./qs 113073459825782523283 |   106 ms | 2             |


| 68 bits Quadratic Sieve testing command                                                     | average  | factors shown |
--------------------------------------------------------------------------------------------------------------------------
|                                                                 ./qs 289147599394539327389 |   107 ms | 6             |
|                                                                 ./qs 272316531598227592657 |   110 ms | 2             |
|                                                                 ./qs 169915150852764168037 |   111 ms | 2             |
|                                                                 ./qs 252657857204067699259 |   111 ms | 6             |
|                                                                 ./qs 190498774405538175107 |   109 ms | 2             |
|                                                                 ./qs 172959030605825546419 |   113 ms | 2             |
|                                                                 ./qs 246383083580163838031 |   113 ms | 2             |
|                                                                 ./qs 271037875460054499487 |   111 ms | 2             |
|                                                                 ./qs 196885483864606921207 |   112 ms | 2             |
|                                                                 ./qs 265799920222758949637 |   112 ms | 6             |
|                                                                 ./qs 182821439800986569969 |   113 ms | 2             |
|                                                                 ./qs 154181377533447364999 |   113 ms | 2             |
|                                                                 ./qs 284167839752674696061 |   112 ms | 2             |
|                                                                 ./qs 217518066160440749911 |   111 ms | 2             |
|                                                                 ./qs 206816698492102180219 |   111 ms | 2             |
|                                                                 ./qs 246879169332125850109 |   111 ms | 2             |
|                                                                 ./qs 187402774427244182243 |   111 ms | 2             |
|                                                                 ./qs 272366303917159213001 |   112 ms | 2             |
|                                                                 ./qs 178324543401233410549 |   111 ms | 2             |
|                                                                 ./qs 169067885026129881283 |   111 ms | 2             |


| 69 bits Quadratic Sieve testing command                                                     | average  | factors shown |
--------------------------------------------------------------------------------------------------------------------------
|                                                                 ./qs 404683354322344678403 |   108 ms | 2             |
|                                                                 ./qs 552353702363528460103 |   107 ms | 2             |
|                                                                 ./qs 420630920660167430779 |   109 ms | 2             |
|                                                                 ./qs 432061765737491344633 |   107 ms | 2             |
|                                                                 ./qs 471582275097964710709 |   106 ms | 2             |
|                                                                 ./qs 349269840497329887407 |   104 ms | 2             |
|                                                                 ./qs 452836760640625035811 |   105 ms | 2             |
|                                                                 ./qs 504050577077464646129 |   106 ms | 2             |
|                                                                 ./qs 355033310856908729303 |   106 ms | 2             |
|                                                                 ./qs 326732673595062098257 |   107 ms | 6             |
|                                                                 ./qs 521292498324968107547 |   107 ms | 6             |
|                                                                 ./qs 434627190824090869009 |   107 ms | 2             |
|                                                                 ./qs 321065368263647143481 |   109 ms | 2             |
|                                                                 ./qs 370270553944310723161 |   109 ms | 6             |
|                                                                 ./qs 493223766632607337549 |   111 ms | 2             |
|                                                                 ./qs 540211460154051665027 |   110 ms | 2             |
|                                                                 ./qs 306440194857781024921 |   110 ms | 2             |
|                                                                 ./qs 540251146581708898129 |   109 ms | 6             |
|                                                                 ./qs 309296691661953665897 |   110 ms | 2             |
|                                                                 ./qs 481301083103537780141 |   110 ms | 6             |


| 70 bits Quadratic Sieve testing command                                                     | average  | factors shown |
--------------------------------------------------------------------------------------------------------------------------
|                                                                 ./qs 992264612110751377157 |   126 ms | 2             |
|                                                                ./qs 1145146845234333443543 |   115 ms | 2             |
|                                                                 ./qs 978945347909575667539 |   119 ms | 2             |
|                                                                 ./qs 998681691022726641137 |   118 ms | 2             |
|                                                                 ./qs 882947569787449272443 |   114 ms | 2             |
|                                                                ./qs 1070213823101880566051 |   113 ms | 2             |
|                                                                 ./qs 892692876826443417727 |   114 ms | 2             |
|                                                                 ./qs 778844054532155401003 |   113 ms | 6             |
|                                                                 ./qs 803376762523873565171 |   110 ms | 2             |
|                                                                 ./qs 669242091580484692861 |   107 ms | 2             |
|                                                                ./qs 1174780304211266678689 |   107 ms | 2             |
|                                                                 ./qs 835528444483167228011 |   106 ms | 6             |
|                                                                 ./qs 623521209666039650533 |   105 ms | 2             |
|                                                                 ./qs 643445775087037949083 |   104 ms | 2             |
|                                                                 ./qs 928719920365743356759 |   105 ms | 2             |
|                                                                 ./qs 884474587882879178729 |   104 ms | 6             |
|                                                                ./qs 1079251857857365345261 |   104 ms | 2             |
|                                                                ./qs 1001887927838463305063 |   105 ms | 2             |
|                                                                 ./qs 723162243821726591321 |   105 ms | 6             |
|                                                                 ./qs 669733863723408094477 |   106 ms | 6             |


| 71 bits Quadratic Sieve testing command                                                     | average  | factors shown |
--------------------------------------------------------------------------------------------------------------------------
|                                                                ./qs 1411328123544525849679 |   125 ms | 2             |
|                                                                ./qs 2124879128897413135367 |   119 ms | 2             |
|                                                                ./qs 2260145014573892054233 |   112 ms | 2             |
|                                                                ./qs 2039941460710399851643 |   107 ms | 2             |
|                                                                ./qs 1395683380831082183917 |   105 ms | 2             |
|                                                                ./qs 1391378601338597753957 |   106 ms | 6             |
|                                                                ./qs 2168722226124361009979 |   106 ms | 2             |
|                                                                ./qs 1429425934746707149729 |   108 ms | 2             |
|                                                                ./qs 1860702212147299871849 |   107 ms | 6             |
|                                                                ./qs 1231793804184598072889 |   108 ms | 2             |
|                                                                ./qs 1577758690713464944771 |   109 ms | 2             |
|                                                                ./qs 2216255389469489655509 |   107 ms | 2             |
|                                                                ./qs 1240817881133662720333 |   107 ms | 2             |
|                                                                ./qs 1323233329278230387491 |   107 ms | 2             |
|                                                                ./qs 2188037281180932009877 |   107 ms | 2             |
|                                                                ./qs 1208696077118244314267 |   106 ms | 2             |
|                                                                ./qs 1336770172944240785063 |   107 ms | 2             |
|                                                                ./qs 1500113945670894998173 |   108 ms | 2             |
|                                                                ./qs 1259914292784862646003 |   108 ms | 2             |
|                                                                ./qs 1746406718514042534041 |   109 ms | 2             |


| 72 bits Quadratic Sieve testing command                                                     | average  | factors shown |
--------------------------------------------------------------------------------------------------------------------------
|                                                                ./qs 2729997229758560004241 |    99 ms | 2             |
|                                                                ./qs 2694148118867708863111 |   100 ms | 2             |
|                                                                ./qs 2557321394552420346121 |   102 ms | 2             |
|                                                                ./qs 2461476078708677888917 |   103 ms | 6             |
|                                                                ./qs 3998837585461583283911 |   103 ms | 2             |
|                                                                ./qs 4595305658846689064917 |   104 ms | 2             |
|                                                                ./qs 4361555262773745586661 |   107 ms | 2             |
|                                                                ./qs 2532710908176645419983 |   109 ms | 2             |
|                                                                ./qs 4484920372471472966359 |   110 ms | 2             |
|                                                                ./qs 3033098535440788593587 |   108 ms | 2             |
|                                                                ./qs 2718472595551703759731 |   108 ms | 2             |
|                                                                ./qs 2760999363570699135839 |   107 ms | 6             |
|                                                                ./qs 3501510797522975585489 |   107 ms | 2             |
|                                                                ./qs 3044800064629927745291 |   108 ms | 2             |
|                                                                ./qs 2788543305557701218563 |   107 ms | 2             |
|                                                                ./qs 4102243819238425694081 |   107 ms | 2             |
|                                                                ./qs 4039562493036536586143 |   107 ms | 2             |
|                                                                ./qs 3136574449829667640799 |   108 ms | 6             |
|                                                                ./qs 3338501791080424679309 |   107 ms | 2             |
|                                                                ./qs 2537278769130262154369 |   107 ms | 2             |


| 73 bits Quadratic Sieve testing command                                                     | average  | factors shown |
--------------------------------------------------------------------------------------------------------------------------
|                                                                ./qs 6376705344022233193139 |   106 ms | 2             |
|                                                                ./qs 9001197630640226360683 |   110 ms | 2             |
|                                                                ./qs 6441519647076609381353 |   107 ms | 2             |
|                                                                ./qs 4873449428480167237991 |   106 ms | 2             |
|                                                                ./qs 5018123336474242363163 |   102 ms | 6             |
|                                                                ./qs 5255202587563227638987 |   102 ms | 2             |
|                                                                ./qs 5818145390061311484601 |   103 ms | 2             |
|                                                                ./qs 8372986725334973238509 |   104 ms | 2             |
|                                                                ./qs 7522849181584449763361 |   104 ms | 2             |
|                                                                ./qs 9159512610732540551731 |   105 ms | 2             |
|                                                                ./qs 7123579752355993722347 |   105 ms | 6             |
|                                                                ./qs 8937349233300958626229 |   105 ms | 2             |
|                                                                ./qs 7750137889039431146531 |   106 ms | 2             |
|                                                                ./qs 8121339040112274505681 |   107 ms | 2             |
|                                                                ./qs 8643954797860074163321 |   107 ms | 2             |
|                                                                ./qs 7054089584819015930461 |   106 ms | 6             |
|                                                                ./qs 8444327303049508718681 |   107 ms | 2             |
|                                                                ./qs 6212592901394058915101 |   106 ms | 2             |
|                                                                ./qs 7452726413386285135571 |   106 ms | 2             |
|                                                                ./qs 7034682842751195981431 |   106 ms | 2             |


| 74 bits Quadratic Sieve testing command                                                     | average  | factors shown |
--------------------------------------------------------------------------------------------------------------------------
|                                                               ./qs 14382228641007163693121 |   115 ms | 6             |
|                                                               ./qs 18567784513522219123301 |   108 ms | 2             |
|                                                               ./qs 12309184387959771058951 |   105 ms | 2             |
|                                                               ./qs 18247867972061350202431 |   107 ms | 2             |
|                                                               ./qs 18429935297851012734647 |   105 ms | 2             |
|                                                               ./qs 13177064896051641319129 |   105 ms | 6             |
|                                                               ./qs 12919350916921268200079 |   106 ms | 2             |
|                                                               ./qs 15484202967489691053491 |   109 ms | 2             |
|                                                               ./qs 16347624190345774634491 |   108 ms | 2             |
|                                                               ./qs 10187270290797130764323 |   109 ms | 2             |
|                                                               ./qs 17584532292625170301909 |   109 ms | 2             |
|                                                               ./qs 15167775100509406948709 |   109 ms | 2             |
|                                                               ./qs 11884813338397865596909 |   108 ms | 2             |
|                                                               ./qs 16764857154609775094881 |   108 ms | 2             |
|                                                               ./qs 18507068592273710030213 |   108 ms | 2             |
|                                                               ./qs 12378896589366848475463 |   108 ms | 2             |
|                                                               ./qs 10608040281687251315489 |   108 ms | 2             |
|                                                               ./qs 13083135881598226218703 |   109 ms | 6             |
|                                                               ./qs 10823823996996275619017 |   109 ms | 6             |
|                                                               ./qs 17737241905638072020353 |   108 ms | 2             |


| 75 bits Quadratic Sieve testing command                                                     | average  | factors shown |
--------------------------------------------------------------------------------------------------------------------------
|                                                               ./qs 28338611045209704034013 |   102 ms | 2             |
|                                                               ./qs 33695145092053211990329 |   105 ms | 2             |
|                                                               ./qs 23879399864999260734751 |   108 ms | 2             |
|                                                               ./qs 29939849653630284658987 |   104 ms | 6             |
|                                                               ./qs 31384525813676277183371 |   108 ms | 2             |
|                                                               ./qs 27332264460525777523079 |   105 ms | 2             |
|                                                               ./qs 23408929080514629075023 |   107 ms | 2             |
|                                                               ./qs 29507116310524737205067 |   107 ms | 2             |
|                                                               ./qs 22629274537473385695269 |   107 ms | 6             |
|                                                               ./qs 26310759461420634611351 |   106 ms | 2             |
|                                                               ./qs 24457022649638832061253 |   107 ms | 2             |
|                                                               ./qs 32424361319398955898899 |   108 ms | 2             |
|                                                               ./qs 33027039775796221195819 |   107 ms | 2             |
|                                                               ./qs 23181462416785971882847 |   107 ms | 6             |
|                                                               ./qs 33777068835737572175497 |   106 ms | 6             |
|                                                               ./qs 19505140290001778636071 |   107 ms | 2             |
|                                                               ./qs 36719348081342419061729 |   107 ms | 6             |
|                                                               ./qs 32676396520109600239837 |   108 ms | 2             |
|                                                               ./qs 19386388900123304499157 |   107 ms | 6             |
|                                                               ./qs 19510768919879229760517 |   107 ms | 2             |


| 76 bits Quadratic Sieve testing command                                                     | average  | factors shown |
--------------------------------------------------------------------------------------------------------------------------
|                                                               ./qs 52607435876440203249941 |   122 ms | 2             |
|                                                               ./qs 69003693443594082559021 |   113 ms | 2             |
|                                                               ./qs 72299309874965375695607 |   114 ms | 2             |
|                                                               ./qs 64187197291895894585203 |   114 ms | 2             |
|                                                               ./qs 55004978071845720607631 |   113 ms | 2             |
|                                                               ./qs 72088032753727004961721 |   111 ms | 2             |
|                                                               ./qs 48862256606953019183729 |   111 ms | 2             |
|                                                               ./qs 69620000535814367349379 |   111 ms | 2             |
|                                                               ./qs 67904972022498694830709 |   110 ms | 2             |
|                                                               ./qs 38330779915565628149497 |   110 ms | 2             |
|                                                               ./qs 58817272287229956245033 |   110 ms | 2             |
|                                                               ./qs 41819325639488734256539 |   109 ms | 2             |
|                                                               ./qs 56333244247481886524261 |   110 ms | 2             |
|                                                               ./qs 67172409927140384009629 |   112 ms | 2             |
|                                                               ./qs 59193137682625202875807 |   113 ms | 6             |
